   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8554e-07,9.9652e-05
1.1885e-04,7.7493e-07,1.1839e-04
1.4125e-04,1.0256e-06,1.4064e-04
1.6788e-04,1.3573e-06,1.6707e-04
1.9953e-04,1.7962e-06,1.9846e-04
2.3714e-04,2.3771e-06,2.3572e-04
2.8184e-04,3.1457e-06,2.7996e-04
3.3497e-04,4.1627e-06,3.3248e-04
3.9811e-04,5.5081e-06,3.9482e-04
4.7315e-04,7.2880e-06,4.6879e-04
5.6234e-04,9.6423e-06,5.5656e-04
6.6834e-04,1.2756e-05,6.6069e-04
7.9433e-04,1.6873e-05,7.8417e-04
9.4406e-04,2.2316e-05,9.3059e-04
1.1220e-03,2.9510e-05,1.1041e-03
1.3335e-03,3.9015e-05,1.3098e-03
1.5849e-03,5.1571e-05,1.5534e-03
1.8836e-03,6.8149e-05,1.8418e-03
2.2387e-03,9.0029e-05,2.1831e-03
2.6607e-03,1.1889e-04,2.5868e-03
3.1623e-03,1.5694e-04,3.0639e-03
3.7584e-03,2.0706e-04,3.6275e-03
4.4668e-03,2.7303e-04,4.2925e-03
5.3088e-03,3.5978e-04,5.0766e-03
6.3096e-03,4.7372e-04,5.9998e-03
7.4989e-03,6.2319e-04,7.0856e-03
8.9125e-03,8.1896e-04,8.3606e-03
1.0593e-02,1.0749e-03,9.8550e-03
1.2589e-02,1.4089e-03,1.1603e-02
1.4962e-02,1.8436e-03,1.3643e-02
1.7783e-02,2.4080e-03,1.6016e-02
2.1135e-02,3.1382e-03,1.8769e-02
2.5119e-02,4.0796e-03,2.1948e-02
2.9854e-02,5.2880e-03,2.5605e-02
3.5481e-02,6.8316e-03,2.9788e-02
4.2170e-02,8.7920e-03,3.4544e-02
5.0119e-02,1.1266e-02,3.9913e-02
5.9566e-02,1.4364e-02,4.5924e-02
7.0795e-02,1.8213e-02,5.2591e-02
8.4140e-02,2.2947e-02,5.9906e-02
1.0000e-01,2.8712e-02,6.7833e-02
1.1885e-01,3.5649e-02,7.6307e-02
1.4125e-01,4.3891e-02,8.5225e-02
1.6788e-01,5.3554e-02,9.4452e-02
1.9953e-01,6.4718e-02,1.0382e-01
2.3714e-01,7.7426e-02,1.1315e-01
2.8184e-01,9.1672e-02,1.2222e-01
3.3497e-01,1.0740e-01,1.3085e-01
3.9811e-01,1.2449e-01,1.3886e-01
4.7315e-01,1.4282e-01,1.4608e-01
5.6234e-01,1.6219e-01,1.5241e-01
6.6834e-01,1.8241e-01,1.5776e-01
7.9433e-01,2.0328e-01,1.6213e-01
9.4406e-01,2.2461e-01,1.6550e-01
1.1220e+00,2.4623e-01,1.6792e-01
1.3335e+00,2.6797e-01,1.6947e-01
1.5849e+00,2.8970e-01,1.7020e-01
1.8836e+00,3.1133e-01,1.7022e-01
2.2387e+00,3.3276e-01,1.6961e-01
2.6607e+00,3.5394e-01,1.6846e-01
3.1623e+00,3.7480e-01,1.6683e-01
3.7584e+00,3.9532e-01,1.6482e-01
4.4668e+00,4.1547e-01,1.6246e-01
5.3088e+00,4.3522e-01,1.5983e-01
6.3096e+00,4.5457e-01,1.5696e-01
7.4989e+00,4.7349e-01,1.5390e-01
8.9125e+00,4.9199e-01,1.5068e-01
1.0593e+01,5.1005e-01,1.4732e-01
1.2589e+01,5.2766e-01,1.4386e-01
1.4962e+01,5.4483e-01,1.4031e-01
1.7783e+01,5.6154e-01,1.3669e-01
2.1135e+01,5.7779e-01,1.3302e-01
2.5119e+01,5.9358e-01,1.2932e-01
2.9854e+01,6.0890e-01,1.2560e-01
3.5481e+01,6.2376e-01,1.2187e-01
4.2170e+01,6.3816e-01,1.1815e-01
5.0119e+01,6.5208e-01,1.1444e-01
5.9566e+01,6.6555e-01,1.1076e-01
7.0795e+01,6.7856e-01,1.0712e-01
8.4140e+01,6.9111e-01,1.0352e-01
1.0000e+02,7.0322e-01,9.9988e-02
1.1885e+02,7.1489e-01,9.6517e-02
1.4125e+02,7.2612e-01,9.3119e-02
1.6788e+02,7.3694e-01,8.9800e-02
1.9953e+02,7.4735e-01,8.6566e-02
2.3714e+02,7.5735e-01,8.3422e-02
2.8184e+02,7.6697e-01,8.0373e-02
3.3497e+02,7.7622e-01,7.7421e-02
3.9811e+02,7.8511e-01,7.4568e-02
4.7315e+02,7.9364e-01,7.1817e-02
5.6234e+02,8.0185e-01,6.9169e-02
6.6834e+02,8.0973e-01,6.6622e-02
7.9433e+02,8.1731e-01,6.4178e-02
9.4406e+02,8.2459e-01,6.1834e-02
1.1220e+03,8.3159e-01,5.9589e-02
1.3335e+03,8.3833e-01,5.7441e-02
1.5849e+03,8.4481e-01,5.5386e-02
1.8836e+03,8.5104e-01,5.3423e-02
2.2387e+03,8.5705e-01,5.1547e-02
2.6607e+03,8.6283e-01,4.9754e-02
3.1623e+03,8.6841e-01,4.8042e-02
3.7584e+03,8.7378e-01,4.6405e-02
4.4668e+03,8.7897e-01,4.4840e-02
5.3088e+03,8.8397e-01,4.3342e-02
6.3096e+03,8.8880e-01,4.1908e-02
7.4989e+03,8.9347e-01,4.0533e-02
8.9125e+03,8.9798e-01,3.9212e-02
1.0593e+04,9.0233e-01,3.7943e-02
1.2589e+04,9.0654e-01,3.6720e-02
1.4962e+04,9.1061e-01,3.5541e-02
1.7783e+04,9.1455e-01,3.4401e-02
2.1135e+04,9.1836e-01,3.3298e-02
2.5119e+04,9.2204e-01,3.2228e-02
2.9854e+04,9.2561e-01,3.1189e-02
3.5481e+04,9.2905e-01,3.0177e-02
4.2170e+04,9.3238e-01,2.9190e-02
5.0119e+04,9.3560e-01,2.8226e-02
5.9566e+04,9.3871e-01,2.7283e-02
7.0795e+04,9.4171e-01,2.6360e-02
8.4140e+04,9.4462e-01,2.5454e-02
1.0000e+05,9.4741e-01,2.4565e-02
1.1885e+05,9.5011e-01,2.3692e-02
1.4125e+05,9.5272e-01,2.2833e-02
1.6788e+05,9.5522e-01,2.1989e-02
1.9953e+05,9.5763e-01,2.1158e-02
2.3714e+05,9.5995e-01,2.0341e-02
2.8184e+05,9.6218e-01,1.9538e-02
3.3497e+05,9.6431e-01,1.8747e-02
3.9811e+05,9.6636e-01,1.7971e-02
4.7315e+05,9.6833e-01,1.7209e-02
5.6234e+05,9.7020e-01,1.6461e-02
6.6834e+05,9.7200e-01,1.5727e-02
7.9433e+05,9.7371e-01,1.5009e-02
9.4406e+05,9.7534e-01,1.4306e-02
1.1220e+06,9.7690e-01,1.3620e-02
1.3335e+06,9.7838e-01,1.2951e-02
1.5849e+06,9.7978e-01,1.2299e-02
1.8836e+06,9.8112e-01,1.1665e-02
2.2387e+06,9.8238e-01,1.1049e-02
2.6607e+06,9.8357e-01,1.0452e-02
3.1623e+06,9.8470e-01,9.8741e-03
3.7584e+06,9.8577e-01,9.3158e-03
4.4668e+06,9.8677e-01,8.7774e-03
5.3088e+06,9.8772e-01,8.2591e-03
6.3096e+06,9.8861e-01,7.7610e-03
7.4989e+06,9.8944e-01,7.2832e-03
