   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8909e-07,9.9652e-05
1.0351e-04,6.2310e-07,1.0315e-04
1.0715e-04,6.5907e-07,1.0676e-04
1.1092e-04,6.9712e-07,1.1051e-04
1.1482e-04,7.3737e-07,1.1438e-04
1.1885e-04,7.7994e-07,1.1839e-04
1.2303e-04,8.2497e-07,1.2254e-04
1.2735e-04,8.7260e-07,1.2684e-04
1.3183e-04,9.2298e-07,1.3128e-04
1.3646e-04,9.7628e-07,1.3588e-04
1.4125e-04,1.0326e-06,1.4064e-04
1.4622e-04,1.0923e-06,1.4557e-04
1.5136e-04,1.1553e-06,1.5067e-04
1.5668e-04,1.2220e-06,1.5595e-04
1.6218e-04,1.2926e-06,1.6142e-04
1.6788e-04,1.3673e-06,1.6707e-04
1.7378e-04,1.4462e-06,1.7293e-04
1.7989e-04,1.5297e-06,1.7898e-04
1.8621e-04,1.6180e-06,1.8525e-04
1.9275e-04,1.7115e-06,1.9174e-04
1.9953e-04,1.8103e-06,1.9846e-04
2.0654e-04,1.9148e-06,2.0541e-04
2.1380e-04,2.0254e-06,2.1260e-04
2.2131e-04,2.1424e-06,2.2004e-04
2.2909e-04,2.2661e-06,2.2775e-04
2.3714e-04,2.3969e-06,2.3572e-04
2.4547e-04,2.5354e-06,2.4397e-04
2.5410e-04,2.6818e-06,2.5251e-04
2.6303e-04,2.8366e-06,2.6135e-04
2.7227e-04,3.0004e-06,2.7050e-04
2.8184e-04,3.1737e-06,2.7996e-04
2.9174e-04,3.3570e-06,2.8976e-04
3.0200e-04,3.5508e-06,2.9990e-04
3.1261e-04,3.7558e-06,3.1039e-04
3.2359e-04,3.9727e-06,3.2125e-04
3.3497e-04,4.2021e-06,3.3248e-04
3.4674e-04,4.4448e-06,3.4411e-04
3.5892e-04,4.7014e-06,3.5614e-04
3.7154e-04,4.9729e-06,3.6860e-04
3.8459e-04,5.2600e-06,3.8148e-04
3.9811e-04,5.5637e-06,3.9482e-04
4.1210e-04,5.8850e-06,4.0862e-04
4.2658e-04,6.2248e-06,4.2290e-04
4.4157e-04,6.5842e-06,4.3767e-04
4.5709e-04,6.9643e-06,4.5297e-04
4.7315e-04,7.3664e-06,4.6879e-04
4.8978e-04,7.7917e-06,4.8517e-04
5.0699e-04,8.2415e-06,5.0211e-04
5.2481e-04,8.7173e-06,5.1964e-04
5.4325e-04,9.2205e-06,5.3779e-04
5.6234e-04,9.7527e-06,5.5656e-04
5.8210e-04,1.0316e-05,5.7599e-04
6.0256e-04,1.0911e-05,5.9609e-04
6.2373e-04,1.1541e-05,6.1689e-04
6.4565e-04,1.2207e-05,6.3841e-04
6.6834e-04,1.2911e-05,6.6068e-04
6.9183e-04,1.3657e-05,6.8372e-04
